break

[207 209 150]
[149 151  91]
[171 173 113]
[143 147  82]
[43 48  0]
[16 23  0]
[90 97 22]
[198 206 129]
[189 197 120]
[136 144  67]
[17 24  0]
[34 41  0]
[17 23  0]
[37 42  0]
[171 175 109]
[122 128  51]
[159 170  74]
[ 89 100   0]
[50 59  0]
[19 25  0]
[21 23  0]
[31 31  0]
[127 126  68]
[201 200 144]
[184 186 127]
[81 83 24]
[16 17  0]
[16 16  0]
[14 15  0]
[14 14  0]
[87 85 45]
[191 190 146]
[176 177 121]
[121 124  62]
[17 19  0]
[16 17  0]
[17 17  0]
[16 15  0]
[35 33  0]
[169 167 119]
[206 203 158]
[121 118  73]
[50 47  2]
[30 27  0]
[16 14  0]
[16 14  0]
[35 34  0]
[95 96 40]
[203 204 140]
[150 154  83]
[79 82 13]
[27 29  0]
[18 19  0]
[18 18  0]
[25 24  0]
[29 27  0]
[148 145  94]
[155 151 103]
[118 113  68]
[46 40  0]
[18 11  0]
[18 10  0]
[24 15  0]
[18 14  0]
[100 105  30]
[127 136  50]
[195 202 121]
[87 92 17]
[47 50  0]
[18 19  0]
[18 17  0]
[27 25  0]
[63 59 10]
[145 142  91]
[195 192 141]
[198 197 141]
[123 122  64]
[37 38  0]
[23 24  0]
[18 17  0]
[26 20  0]
[68 59 32]
[203 194 167]
[192 183 156]
[200 191 164]
[50 41 14]
[39 30  3]
[16  7  0]
[18  9  0]
[24 15  0]
[157 148 121]
[190 181 154]
[151 142 115]
[176 167 140]
[116 107  80]
[14  7  0]
[12  7  0]
[11  7  0]
[45 41 17]
[159 155 131]
[166 162 138]
[165 161 137]
[188 183 162]
[40 35 14]
[20 14  0]
[13  7  0]
[11  5  0]
[129 123 104]
[191 184 167]
[141 134 117]
[158 151 134]
[130 125 110]
[14  8  0]
[7 3 0]
[17 13  2]
[42 38 27]
[195 191 180]
[157 153 142]
[147 144 130]
[151 148 134]
[20 17  3]
[7 4 0]
[23 20  5]
[7 4 0]
[90 87 72]
[183 180 165]
[137 134 119]
[166 163 148]
[80 80 62]
[33 33 15]
[5 5 0]
[5 5 0]
[19 18  0]
[90 89 69]
[166 165 145]
[193 192 172]
[93 90 69]
[69 66 45]
[11  7  0]
[24 20  0]
[11  7  0]
[11  7  0]
[44 39 14]
[57 53 29]
[67 60 43]
[21 16  1]
[9 4 0]
[13  8  0]
[14  9  0]
[9 4 0]
[9 4 0]
[15 10  0]
[12  7  0]
[12  7  0]
[11  6  0]
[9 4 0]
[17 12  0]
[20 15  0]
[9 4 0]
[12  7  0]
[13  9  0]
[9 5 0]
[12  3  0]
[18  9  0]
[21  8  0]
[16  3  0]
[22  4  0]
[19  1  0]
[18  1  0]
[16  1  0]
[25 13  3]
[11  2  0]
[21 14  5]
[15 13  3]
[4 3 0]
[12 10  0]
[13  4  0]
[14  2  0]
[22 10  0]
[16  4  0]
[16  4  0]
[14  2  0]
[20  8  0]
[15  3  0]
[16  4  0]
[14  2  0]
[19  7  0]
[20  8  0]
[14  2  0]
[14  2  0]
[14  2  0]
[16  7  0]
[7 4 0]
[7 7 0]
[5 5 0]
[5 5 0]
[5 5 0]
[8 8 0]
[16 16  0]
[5 5 0]
[7 7 0]
[5 5 0]
[15 15  0]
[5 5 0]
[5 5 0]
[13 13  0]
[5 5 0]
[ 8 10  0]
[ 9 12  0]
[ 7 12  0]
[ 4 10  0]
[11 17  0]
[ 4 10  0]
[ 8 14  0]
[ 3 11  0]
[ 8 16  0]
[ 0 11  0]
[ 1 12  0]
[ 4 15  0]
[ 0 11  0]
[ 0 11  0]
[ 0 12  0]
[ 0 12  0]
[ 0 11  0]
[ 2 10  0]
[ 2 10  0]
[ 5 13  0]
[ 6 14  0]
[ 5 13  0]
[ 3 11  0]
[ 2 10  0]
[ 2 10  0]
[ 3 11  0]
[ 4 12  0]
[ 5 13  0]
[ 6 14  0]
[ 5 13  0]
[ 4 12  0]
[ 2 10  0]
[ 4 10  0]
[ 9 13  0]
[ 9 11  0]
[5 9 0]
[5 9 0]
[ 5 10  0]
[ 7 13  0]
[11 17  0]
[12 20  0]
[16 27  0]
[15 26  0]
[11 25  0]
[ 9 23  0]
[ 7 24  0]
[ 9 26  0]
[13 31  0]
[16 34  0]
[20 32  0]
[18 30  0]
[17 29  0]
[17 29  0]
[17 29  0]
[17 29  0]
[14 26  0]
[11 23  0]
[ 4 16  0]
[ 3 15  0]
[ 2 14  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 0 12  0]
[ 1 10  0]
[ 1 10  0]
[5 8 0]
[5 8 0]
[8 7 0]
[8 7 0]
[12  5  0]
[12  5  0]
[15  4  0]
[15  4  0]
[17  4  0]
[15  4  0]
[10  6  0]
[8 6 0]
[8 6 0]
[8 6 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 7 0]
[8 8 0]
[8 8 0]
[8 8 0]
[8 8 0]
[8 9 0]
[8 9 0]
[10  9  0]
[10  9  0]
[10  9  0]
[10  9  0]
[ 8 10  0]
[ 8 10  0]
[ 6 10  0]
[ 6 10  0]
[ 6 10  0]
[ 6 10  0]
[ 5 10  0]
[ 5 10  0]
[ 3 11  0]
[ 3 11  0]
[ 3 11  0]
[ 5 10  0]
[8 8 0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
[10  8  0]
